source,filename,relative_path,absolute_path,pages,sha256,title,author
EXEMPLAR,jeep205.pdf,10th_maths/jeep205.pdf,/home/jiitcah.05/nlp_research_module/datasets/exemplar_raw/10th_maths/jeep205.pdf,15,2ccae635d64f6cb4606acc402bbeaab10c289da416ac85f573f52df71b6f3883,Ch-5 (26-2-2009).pmd,NCERT
EXEMPLAR,jeep206.pdf,10th_maths/jeep206.pdf,/home/jiitcah.05/nlp_research_module/datasets/exemplar_raw/10th_maths/jeep206.pdf,18,6c273b3ffb2f2a4556c06c39db1920b0959b4c415795b075e61ca9f2ee23a42a,C:\Users\NCERT\Desktop\hhhhhhhh.oxps,NCERT
EXEMPLAR,jeep207.pdf,10th_maths/jeep207.pdf,/home/jiitcah.05/nlp_research_module/datasets/exemplar_raw/10th_maths/jeep207.pdf,10,09417c5e472fc85c49e890b3ae643fb04038eddda39eeb47777d7151847fbd9e,Ch-7-(26-2-2009).pmd,NCERT
EXEMPLAR,jeep208.pdf,10th_maths/jeep208.pdf,/home/jiitcah.05/nlp_research_module/datasets/exemplar_raw/10th_maths/jeep208.pdf,14,10c29407405faad1e1d848df3f09e4468b05ffa77f139e4926dcff8746984b2c,Ch-8 (26.2.2009).pmd,NCERT
EXEMPLAR,jeep209.pdf,10th_maths/jeep209.pdf,/home/jiitcah.05/nlp_research_module/datasets/exemplar_raw/10th_maths/jeep209.pdf,12,be0425d48eec0f27982b8b6315785b7e5a35bb12a31bc5cdfac7b7dedc090d31,Ch-9-(26-2-2009).pmd,NCERT
EXEMPLAR,jeep210.pdf,10th_maths/jeep210.pdf,/home/jiitcah.05/nlp_research_module/datasets/exemplar_raw/10th_maths/jeep210.pdf,6,2b25f68ae08d2d8adace833e93e53e317ce2ecdd5c9c2a171087a39b66a0c7d1,Ch-10-(26-2-2009).pmd,NCERT
EXEMPLAR,jeep211.pdf,10th_maths/jeep211.pdf,/home/jiitcah.05/nlp_research_module/datasets/exemplar_raw/10th_maths/jeep211.pdf,17,c859a91d2ebb56a5bffd738ffd633cd30b8fdc9efaa0480c05b432304326dcce,Ch-11 (26-2-2009).pmd,NCERT
EXEMPLAR,jeep212.pdf,10th_maths/jeep212.pdf,/home/jiitcah.05/nlp_research_module/datasets/exemplar_raw/10th_maths/jeep212.pdf,17,827e9cba8c4c39402b2918c52cb2f8707cb9f8ca9c24127e3d507cd98af1e1b4,Ch_12 (26-2-2009).pmd,NCERT
EXEMPLAR,jeep213.pdf,10th_maths/jeep213.pdf,/home/jiitcah.05/nlp_research_module/datasets/exemplar_raw/10th_maths/jeep213.pdf,22,e7507c9879c593599ab65cd38d25238e8da3668dbd3920f4f97dd4418b48ce1a,Ch_13 (26-2-2009).pmd,NCERT
EXEMPLAR,jeep214.pdf,10th_maths/jeep214.pdf,/home/jiitcah.05/nlp_research_module/datasets/exemplar_raw/10th_maths/jeep214.pdf,16,18f895ad15863e5da3b4e428c30ad409fdca709b11d6473811ad3d86b877a84a,Question Paper_1-(3-3-2009).pmd,NCERT
EXEMPLAR,jeep215.pdf,10th_maths/jeep215.pdf,/home/jiitcah.05/nlp_research_module/datasets/exemplar_raw/10th_maths/jeep215.pdf,18,c11420e2f52b613ba4681cb4750d28ec966463fda1b80f0cf721e98955471480,Question Paper_II-(26-2-2009).pmd,NCERT
EXEMPLAR,keep201.pdf,11th_maths/keep201.pdf,/home/jiitcah.05/nlp_research_module/datasets/exemplar_raw/11th_maths/keep201.pdf,18,e4fcbe0d7b0ebc38cdeda178c78a639be6a631ed65db63409988130f5f854f26,,
EXEMPLAR,keep202.pdf,11th_maths/keep202.pdf,/home/jiitcah.05/nlp_research_module/datasets/exemplar_raw/11th_maths/keep202.pdf,15,982c2353b6631b1acd5c39e91a9cfdaff1ac70d89aad02c17e3eb85624f613de,,
EXEMPLAR,keep203.pdf,11th_maths/keep203.pdf,/home/jiitcah.05/nlp_research_module/datasets/exemplar_raw/11th_maths/keep203.pdf,27,6f5bd8e29f511aa3da3e964fcd5f05c27d1b04346a520d3c18dd31ce79c0e628,,
EXEMPLAR,keep204.pdf,11th_maths/keep204.pdf,/home/jiitcah.05/nlp_research_module/datasets/exemplar_raw/11th_maths/keep204.pdf,12,b46ca76b0dd826e143080999dd5b10758e110347ee6a644253c148467f468153,,
EXEMPLAR,keep205.pdf,11th_maths/keep205.pdf,/home/jiitcah.05/nlp_research_module/datasets/exemplar_raw/11th_maths/keep205.pdf,25,e3cd009f0a51cd2a1ccb5503a0a27ab1399743db584ce395e131ce0940ca3a9f,,
EXEMPLAR,keep206.pdf,11th_maths/keep206.pdf,/home/jiitcah.05/nlp_research_module/datasets/exemplar_raw/11th_maths/keep206.pdf,16,8906b7666ea558f47b1b76ffd266050358510a1fd1a0d899b3b8730990dcdfee,,
EXEMPLAR,keep207.pdf,11th_maths/keep207.pdf,/home/jiitcah.05/nlp_research_module/datasets/exemplar_raw/11th_maths/keep207.pdf,15,3792108024c660145560600f9153349a6e87ed3032df5f93efa7a097094a6c52,,
EXEMPLAR,keep208.pdf,11th_maths/keep208.pdf,/home/jiitcah.05/nlp_research_module/datasets/exemplar_raw/11th_maths/keep208.pdf,18,c99f5a4644ee9a758f51f8926df4455f8d89dee91485a3501ce90464f3d69587,,
EXEMPLAR,keep209.pdf,11th_maths/keep209.pdf,/home/jiitcah.05/nlp_research_module/datasets/exemplar_raw/11th_maths/keep209.pdf,18,fae1d2931dc9571f538ff0720af1e208e3181f1a2e5baddf45447ff4097b4dd8,,
EXEMPLAR,keep210.pdf,11th_maths/keep210.pdf,/home/jiitcah.05/nlp_research_module/datasets/exemplar_raw/11th_maths/keep210.pdf,21,3399ed5750f7a95e4cc28228c5b6333da750ad56f97e0d1818deaa8f136d9b66,,
